iter	Passed	Remaining
0	0	127
1	1	136
2	1	131
3	2	124
4	3	119
5	3	114
6	4	111
7	4	110
8	5	112
9	5	109
10	6	107
11	6	104
12	7	106
13	9	119
14	9	120
15	10	120
16	10	118
17	11	115
18	12	114
19	12	112
20	12	110
21	13	108
22	13	106
23	14	105
24	14	103
25	15	103
26	15	102
27	16	101
28	17	100
29	17	99
30	18	98
31	18	96
32	19	97
33	20	97
34	20	98
35	21	98
36	22	98
37	22	97
38	23	96
39	23	95
40	24	94
41	24	93
42	25	92
43	25	92
44	26	91
45	26	90
46	27	89
47	27	88
48	28	87
49	28	86
50	29	86
51	30	85
52	30	85
53	31	86
54	32	86
55	33	86
56	34	85
57	34	84
58	35	83
59	35	83
60	36	82
61	36	81
62	37	80
63	37	80
64	38	79
65	38	78
66	39	78
67	40	77
68	40	77
69	41	76
70	41	75
71	42	75
72	43	76
73	44	76
74	45	75
75	46	75
76	46	74
77	47	74
78	48	73
79	48	73
80	49	72
81	49	71
82	50	71
83	51	71
84	52	70
85	52	70
86	54	70
87	55	70
88	55	69
89	56	69
90	57	68
91	57	67
92	58	67
93	59	66
94	59	65
95	60	65
96	60	64
97	61	63
98	61	63
99	62	62
100	62	61
101	63	60
102	63	60
103	64	59
104	65	59
105	66	59
106	67	59
107	68	58
108	69	57
109	69	57
110	70	56
111	70	55
112	71	55
113	71	54
114	72	53
115	73	52
116	73	52
117	74	51
118	74	50
119	75	50
120	75	49
121	76	49
122	77	48
123	78	48
124	79	47
125	80	47
126	80	46
127	81	45
128	81	45
129	82	44
130	83	43
131	83	43
132	84	42
133	84	41
134	85	41
135	85	40
136	86	39
137	87	39
138	87	38
139	88	37
140	89	37
141	90	36
142	91	36
143	91	35
144	92	35
145	92	34
146	93	33
147	94	33
148	94	32
149	95	31
150	95	30
151	96	30
152	96	29
153	97	29
154	98	28
155	98	27
156	99	27
157	100	26
158	101	26
159	102	25
160	102	24
161	103	24
162	104	23
163	104	22
164	105	22
165	105	21
166	106	20
167	106	20
168	107	19
169	107	19
170	108	18
171	108	17
172	109	17
173	109	16
174	110	15
175	111	15
176	112	14
177	113	13
178	113	13
179	114	12
180	115	12
181	115	11
182	116	10
183	116	10
184	117	9
185	117	8
186	118	8
187	118	7
188	119	6
189	119	6
190	120	5
191	121	5
192	121	4
193	122	3
194	123	3
195	124	2
196	125	1
197	126	1
198	126	0
199	127	0
